"측정년도","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"2025","강남구","0.0185","0.0316","0.38","0.0025","32","18"
"2025","강남대로","0.0231","0.0221","0.53","0.0029","35","18"
"2025","강동구","0.0169","0.0331","0.53","0.0027","34","21"
"2025","강변북로","0.0257","0.024","0.48","0.0029","36","16"
"2025","강북구","0.0119","0.0345","0.34","0.0022","31","18"
"2025","강서구","0.0195","0.0321","0.4","0.0028","35","19"
"2025","공항대로","0.0243","0.0284","0.4","0.0026","34","17"
"2025","관악구","0.019","0.0318","0.39","0.0025","28","17"
"2025","관악산","0.0076","0.0556","0.38","0.0029","32","15"
"2025","광진구","0.0172","0.0369","0.47","0.0029","31","18"
"2025","구로구","0.0156","0.0322","0.35","0.0026","36","21"
"2025","금천구","0.0187","0.0313","0.38","0.0027","32","19"
"2025","남산","0.0137","0.0359","0.48","0.0031","28","14"
"2025","노원구","0.0176","0.0324","0.39","0.0024","33","19"
"2025","도봉구","0.0138","0.0366","0.41","0.0028","29","16"
"2025","도산대로","0.019","0.0311","0.55","0.0028","37","17"
"2025","동대문구","0.0181","0.0321","0.39","0.0025","34","19"
"2025","동작구","0.0187","0.0333","0.37","0.0024","33","18"
"2025","동작대로","0.0272","0.0267","0.46","0.0026","37","17"
"2025","마포구","0.0194","0.0337","0.38","0.0026","32","19"
"2025","마포아트센터","0.0166","0.0391","0.49","0.0032","32","18"
"2025","북한산","0.0074","0.038","0.37","0.003","30","18"
"2025","서대문구","0.0145","0.0349","0.5","0.0035","28","17"
"2025","서울숲","0.0169","0.0309","0.48","0.003","32","17"
"2025","서초구","0.0165","0.0326","0.38","0.0025","35","19"
"2025","성동구","0.0184","0.0319","0.37","0.0027","30","17"
"2025","성북구","0.0171","0.031","0.49","0.0031","30","17"
"2025","세곡","0.0182","0.0277","0.49","0.0029","34","15"
"2025","송파구","0.0195","0.0304","0.38","0.0025","32","18"
"2025","시흥대로","0.0296","0.0249","0.49","0.0029","37","17"
"2025","신촌로","0.0271","0.024","0.53","0.0027","38","21"
"2025","양천구","0.0195","0.0329","0.39","0.0026","35","19"
"2025","영등포구","0.0198","0.0333","0.39","0.0026","31","20"
"2025","영등포로","0.0257","0.0279","0.46","0.0027","34","16"
"2025","올림픽공원","0.0112","0.0339","0.42","0.0027","29","17"
"2025","용산구","0.0198","0.0282","0.42","0.0028","33","19"
"2025","은평구","0.0133","0.0307","0.45","0.0027","31","15"
"2025","자연사박물관","0.0136","0.0391","0.46","0.0031","31","16"
"2025","정릉로","0.0288","0.0267","0.46","0.0026","35","18"
"2025","종로","0.0204","0.0282","0.43","0.0025","32","17"
"2025","종로구","0.0201","0.0337","0.41","0.0027","32","20"
"2025","중구","0.0194","0.0346","0.39","0.0029","29","19"
"2025","중랑구","0.0163","0.0299","0.37","0.0027","32","19"
"2025","천호대로","0.024","0.0265","0.48","0.0025","30","16"
"2025","청계천로","0.0228","0.0271","0.49","0.0028","36","19"
"2025","한강대로","0.0212","0.029","0.46","0.003","36","20"
"2025","항동","0.0173","0.0289","0.56","0.0032","29","17"
"2025","행주","0.015","0.0323","0.47","0.0029","30","16"
"2025","홍릉로","0.0234","0.0276","0.46","0.0028","32","16"
"2025","화랑로","0.0271","0.0283","0.45","0.0025","33","19"
