"측정년도","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"2024","강남구","0.0206","0.0329","0.38","0.0025","31","18"
"2024","강남대로","0.0273","0.0205","0.56","0.0028","35","17"
"2024","강동구","0.0195","0.036","0.5","0.0025","31","17"
"2024","강변북로","0.0264","0.0227","0.5","0.0027","34","18"
"2024","강북구","0.0129","0.0368","0.36","0.0022","29","17"
"2024","강서구","0.0199","0.0336","0.4","0.003","33","17"
"2024","공항대로","0.0264","0.0285","0.44","0.003","33","17"
"2024","관악구","0.0211","0.0328","0.41","0.0027","34","18"
"2024","관악산","0.0079","0.0522","0.39","0.003","31","15"
"2024","광진구","0.0198","0.0364","0.5","0.0026","30","17"
"2024","구로구","0.0138","0.034","0.37","0.0026","34","17"
"2024","금천구","0.0208","0.0315","0.4","0.0028","30","18"
"2024","남산","0.0153","0.0357","0.48","0.0029","28","14"
"2024","노원구","0.0183","0.0319","0.39","0.0026","33","19"
"2024","도봉구","0.0158","0.0382","0.43","0.0028","29","17"
"2024","도산대로","0.0206","0.0257","0.51","0.0028","36","19"
"2024","동대문구","0.0192","0.0336","0.42","0.0025","33","18"
"2024","동작구","0.02","0.0338","0.38","0.0024","31","18"
"2024","동작대로","0.0314","0.0266","0.48","0.0028","36","18"
"2024","마포구","0.0211","0.0349","0.39","0.0026","31","18"
"2024","마포아트센터","0.0178","0.0377","0.44","0.0029","31","16"
"2024","북한산","0.008","0.0383","0.36","0.0027","28","16"
"2024","서대문구","0.0169","0.0368","0.5","0.003","31","17"
"2024","서울숲","0.0173","0.0304","0.45","0.0026","33","16"
"2024","서초구","0.017","0.0326","0.38","0.0024","37","18"
"2024","성동구","0.0202","0.0324","0.37","0.0028","31","17"
"2024","성북구","0.0172","0.0306","0.47","0.0028","31","17"
"2024","세곡","0.0189","0.0241","0.54","0.0028","33","16"
"2024","송파구","0.0209","0.0306","0.38","0.0025","32","17"
"2024","시흥대로","0.0314","0.023","0.49","0.0031","36","19"
"2024","신촌로","0.0268","0.0251","0.54","0.0028","35","20"
"2024","양천구","0.0209","0.0333","0.4","0.0026","32","18"
"2024","영등포구","0.0206","0.0343","0.39","0.0027","30","19"
"2024","영등포로","0.0278","0.0271","0.47","0.0029","34","18"
"2024","올림픽공원","0.0146","0.0319","0.51","0.0024","30","17"
"2024","용산구","0.023","0.0292","0.43","0.0026","33","18"
"2024","은평구","0.0147","0.0291","0.47","0.0028","32","17"
"2024","자연사박물관","0.015","0.0384","0.43","0.0029","31","15"
"2024","정릉로","0.0313","0.0265","0.5","0.0027","35","19"
"2024","종로","0.02","0.0294","0.48","0.003","30","16"
"2024","종로구","0.0196","0.0344","0.41","0.003","31","19"
"2024","중구","0.0172","0.0313","0.39","0.003","27","18"
"2024","중랑구","0.0178","0.0305","0.38","0.0023","28","18"
"2024","천호대로","0.0266","0.0266","0.47","0.0026","35","18"
"2024","청계천로","0.0233","0.0278","0.5","0.0028","38","18"
"2024","한강대로","0.0237","0.0303","0.51","0.0028","37","19"
"2024","항동","0.0185","0.0299","0.56","0.0029","29","17"
"2024","행주","0.0168","0.035","0.47","0.0028","32","15"
"2024","홍릉로","0.0248","0.0286","0.48","0.003","32","17"
"2024","화랑로","0.03","0.026","0.47","0.0026","34","17"
