스마트쉼터 현황,,,,,
,,,,,
시도,시군구,시설명,설치장소,상세주소,설치년도
서울,성동구,스마트쉼터,"센트라스, 성동고방면 버스정류장 (04103)",서울특별시 성동구 왕십리로 410,2020
서울,성동구,스마트쉼터,상왕십리역 버스정류장 (04102),서울특별시 성동구 고산자로 164,2020
서울,성동구,스마트쉼터,성동세무서 버스정류장 (04213),서울특별시 성동구 광나루로 311,2020
서울,성동구,스마트쉼터,한양대정문 앞 버스정류장 (04130),서울특별시 성동구 왕십리로 222,2020
서울,성동구,스마트쉼터,금호역 버스정류장 (04156),서울특별시 성동구 매봉길 50,2020
서울,성동구,스마트쉼터,옥수파출소 앞 버스정류장 (04162),서울특별시 성동구 독서당로 211,2020
서울,성동구,스마트쉼터,신금호역 버스정류장 (04146),서울특별시 성동구 금호로 173,2020
서울,성동구,스마트쉼터,응봉동주민센터 버스정류장 (04138),서울특별시 성동구 독서당로 424,2020
서울,성동구,스마트쉼터,성수동이마트 버스정류장 (04198),서울특별시 성동구 뚝섬로 377,2020
서울,성동구,스마트쉼터,무학여고 앞 버스정류장 (04132),서울특별시 성동구 고산자로 201,2020
서울,성동구,스마트쉼터,마장축산물(도선사거리) 버스정류장 (04120),서울특별시 성동구 고산자로 340,2020
서울,성동구,스마트쉼터,마장축산물(동대문) 버스정류장 (04119),서울특별시 성동구 고산자로 345,2020
서울,성동구,스마트쉼터,"용답동부시장,답십리역 버스정류장 (04218)",서울특별시 성동구 천호대로 302,2020
서울,성동구,스마트쉼터,"행당역,대림아파트정문 버스정류장 (04280)",서울특별시 성동구 행당로 87,2020
서울,성동구,스마트쉼터,서울숲(구민종합체육센터) 버스정류장 (04177),서울특별시 성동구 왕십리로 58,2020
서울,성동구,스마트쉼터,화양사거리(성수초) 버스정류장 (04207),서울특별시 성동구 동일로 169,2020
서울,성동구,스마트쉼터,상왕십리역(왕십리2동주민센터) 버스정류장 (04101),서울특별시 성동구 왕십리로 369,2020
서울,성동구,스마트쉼터,뚝섬역 3번5번출구 버스정류장 (04238),서울특별시 성동구 아차산로 42,2020
서울,성동구,스마트쉼터,송정동건영아파트 버스정류장 (04215),서울특별시 성동구 동일로 265,2020
서울,성동구,스마트쉼터,왕십리역 4번출구 버스정류장 (04302),서울특별시 성동구 행당동 192-3,2020
서울,성동구,스마트쉼터,성동교남단 버스정류장 (04185),서울특별시 성동구 왕십리로 136,2021
서울,성동구,스마트쉼터,응봉사거리 버스정류장 (04140),서울특별시 성동구 고산자로 164,2021
서울,성동구,스마트쉼터,"코스모타워,신용보증재단 버스정류장 (04110)",서울특별시 성동구 왕십리로 336,2021
서울,성동구,스마트쉼터,응봉현대아파트 버스정류장 (04142),서울특별시 성동구 독서당로 381,2021
서울,성동구,스마트쉼터,행당역 버스정류장 (04279),서울특별시 성동구 행당로6길 97,2021
서울,성동구,스마트쉼터,성동구민종합체육센터 버스정류장 (04180),서울특별시 성동구 왕십리로5길 3,2021
서울,성동구,스마트쉼터,장미소공원 버스정류장 (04500),서울특별시 성동구 광나루로11길 54,2021
서울,성동구,스마트쉼터,마장역 버스정류장 (04117),서울특별시 성동구 마장로 292,2022
서울,성동구,스마트쉼터,성동노인복지관 버스정류장 (04118),서울특별시 성동구 마조로 77,2022
서울,성동구,스마트쉼터,"성동사회복지관,청계천박물관 버스정류장 (04595)",서울특별시 성동구 청계천로 506,2022
서울,성동구,스마트쉼터,성동구도시관리공단 버스정류장 (04600),서울특별시 성동구 청계천로 546,2022
서울,성동구,스마트쉼터,"한양대앞, 한양시장 버스정류장 (04127)",서울특별시 성동구 마조로 14,2022
서울,성동구,스마트쉼터,"광희중학교, 응봉역 버스정류장 (04821)",서울특별시 성동구 응봉동 193,2022
서울,성동구,스마트쉼터,논골신협대림아파트 후문 버스정류장 (04560),서울특별시 성동구 난계로 58,2022
서울,성동구,스마트쉼터,삼성래미안아파트 버스정류장 (04160),서울특별시 성동구 독서당로 343,2022
서울,성동구,스마트쉼터,"금호역(2번출구옆, 금호터널입구방면) 버스정류장 (04155)",서울특별시 성동구 동호로2가길 9-10,2022
서울,성동구,스마트쉼터,금호역(마을버스 정문) 버스정류장 (04764),서울특별시 성동구 동호로 102,2022
서울,성동구,스마트쉼터,힐스테이트서울숲리버 버스정류장 (04159),서울특별시 성동구 독서당로 342,2022
서울,성동구,스마트쉼터,서울숲(똑도아리수정수센터) 버스정류장 (04178),서울특별시 성동구 왕십리로 63,2022
서울,성동구,스마트쉼터,뚝섬역 4번출구 버스정류장 (04239),서울특별시 성동구 아차산로 41,2022
서울,성동구,스마트쉼터,상원 버스정류장 (04187),서울특별시 성동구 광나루로 144,2022
서울,성동구,스마트쉼터,뚝섬역 2번출구 버스정류장 (04237),서울특별시 성동구 아차산로 17,2022
서울,성동구,스마트쉼터,성수사거리 버스정류장 (04257),서울특별시 성동구 아차산로 163,2022
서울,성동구,스마트쉼터,제인병원 버스정류장 (04211),서울특별시 성동구 광나루로 243,2022
서울,성동구,스마트쉼터,군자교남단 버스정류장 (04216),서울특별시 성동구 동일로 291,2022
서울,성동구,스마트쉼터,신답역 버스정류장 (04217),서울특별시 성동구 천호대로 232,2022
서울,성동구,스마트쉼터,"청계벽산아파트, 텐즈힐아파트버스정류장 (04107)",서울특별시 성동구 하왕십리동 259-12,2022
서울,성동구,스마트쉼터,"황학교, 텐즈힐몰버스정류장 (04295)",서울특별시 성동구 상왕십리동 16-4,2022
서울,성동구,스마트쉼터,청계벽산아파트.텐즈힐아파트 버스정류장 (04106),서울특별시 성동구 하왕십리동 282-4,2023
서울,성동구,스마트쉼터,상왕십리역?센트라스아파트 버스정류장 (04114),서울특별시 성동구 홍익동 590,2023
서울,성동구,스마트쉼터,성동세무서앞 버스정류장 (04212),서울특별시 성동구 성수동2가 280-41,2023
서울,성동구,스마트쉼터,뚝섬역 8번출구 버스정류장 (04236),서울특별시 성동구 성수동1가 656-853,2023
서울,용산구,스마트파고라,신계역사공원,서울특별시 용산구 신계동 55,2023
