시점,행정구역(시군구)별,성별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
,,여자,"537,255.5","15,493.5","24,399.5","27,118","25,288","25,044.5","29,392.5","30,811.5","32,690.5","44,299.5","42,849.5","51,852","49,458","47,290","34,974.5","21,771.5","14,075.5","20,447","11,255.5","9,191.5","6,236.5","2,340",553,62
,세종특별자치시,계,"384,276.5","18,091","26,644","27,710","22,129.5","17,677.5","20,367","27,577","32,533.5","41,373","35,258.5","30,632.5","22,243","20,775","15,612","9,696","6,348","9,609","5,109.5","4,499.5","3,023.5","1,191.5",248,36.5
,,남자,"191,515","9,127","13,619","14,091","11,013","9,249.5","10,169.5","13,499","16,049","20,238","17,871","16,251.5","11,461.5","10,411.5","7,690","4,698","2,868.5","3,208","1,998","1,210",918.5,241.5,44,6
,,여자,"192,761.5","8,964","13,025","13,619","11,116.5","8,428","10,197.5","14,078","16,484.5","21,135","17,387.5","14,381","10,781.5","10,363.5","7,922","4,998","3,479.5","6,401","3,111.5","3,289.5","2,105",950,204,30.5
,경기도,계,"13,545,542.5","414,094","600,617.5","671,466.5","650,517","772,182.5","932,864","943,400","929,355","1,152,431.5","1,104,358","1,224,263.5","1,072,415","1,029,614","749,825","470,060.5","354,344","473,734.5","269,574","204,160.5","142,329","49,266.5","10,889.5","1,675.5"
,,남자,"6,811,447","211,856","307,363","343,671.5","333,353.5","402,264","495,849.5","496,313.5","478,186.5","588,687","559,990.5","617,530.5","540,388.5","518,193.5","368,620","222,201","157,599.5","169,379","107,430.5","61,948.5","47,155","12,417.5","2,047.5",328.5
,,여자,"6,734,095.5","202,238","293,254.5","327,795","317,163.5","369,918.5","437,014.5","447,086.5","451,168.5","563,744.5","544,367.5","606,733","532,026.5","511,420.5","381,205","247,859.5","196,744.5","304,355.5","162,143.5","142,212","95,174","36,849","8,842","1,347"
,강원도,계,"1,526,763","39,645.5","53,774.5","63,967","66,508","81,638","84,848","80,114.5","78,773.5","102,563","108,629.5","131,435","129,270","148,199","122,388.5","75,982","63,703.5","95,323.5","54,346","40,977.5","28,362.5","9,848.5","2,410.5",356
,,남자,"767,650","20,225","27,566.5","32,924","34,763.5","45,448","47,948","43,391.5","41,072","52,035","55,456","68,309.5","66,186.5","74,056","61,415.5","35,893.5","28,288.5","32,671","20,905.5","11,765.5","9,012","2,231.5",445.5,76.5
,,여자,"759,113","19,420.5","26,208","31,043","31,744.5","36,190","36,900","36,723","37,701.5","50,528","53,173.5","63,125.5","63,083.5","74,143","60,973","40,088.5","35,415","62,652.5","33,440.5","29,212","19,350.5","7,617","1,965",279.5
,충청북도,계,"1,589,702","42,975.5","63,368.5","72,892","72,168.5","85,105","99,538.5","94,101","92,859.5","115,082.5","117,203","136,545","132,542","141,211","112,769","72,032","53,944.5","85,364.5","47,518","37,846.5","26,922.5","8,875","1,789",260
,,남자,"807,811","22,102","32,316.5","37,487.5","37,616.5","46,390.5","56,120.5","52,632","49,151","59,751.5","60,402.5","70,335.5","67,972.5","71,895.5","56,365","34,768","23,913.5","28,590.5","17,962","10,628.5","8,281.5","1,967",336.5,43.5
,,여자,"781,891","20,873.5","31,052","35,404.5","34,552","38,714.5","43,418","41,469","43,708.5","55,331","56,800.5","66,209.5","64,569.5","69,315.5","56,404","37,264","30,031","56,774","29,556","27,218","18,641","6,908","1,452.5",216.5
,충청남도,계,"2,119,950.5","59,200.5","88,889.5","102,580","99,448","109,083","118,819","121,990.5","129,359","163,842.5","160,125","178,378.5","165,603.5","177,739.5","140,510","100,723","75,262","128,397","68,028","60,369","42,039.5","14,917.5","2,954",458
,,남자,"1,084,955.5","30,359.5","45,518.5","52,955","51,584.5","59,384","67,264","67,114","69,047","87,193","84,963","95,359.5","87,097.5","91,205","70,082","48,421","34,018.5","43,389.5","25,652.5","17,737","13,421.5","3,682.5",575.5,57.5
,,여자,"1,034,995","28,841","43,371","49,625","47,863.5","49,699","51,555","54,876.5","60,312","76,649.5","75,162","83,019","78,506","86,534.5","70,428","52,302","41,243.5","85,007.5","42,375.5","42,632","28,618","11,235","2,378.5",400.5
,전라북도,계,"1,757,041","40,571.5","65,841.5","81,530.5","84,276","97,457","96,652.5","86,046","88,095","118,032","130,132.5","152,757.5","145,257.5","154,314.5","125,765","95,279.5","74,632","120,400.5","66,007.5","54,393","37,743.5","13,449.5","2,746.5",453.5
,,남자,"874,075.5","20,545.5","33,861","41,935","43,758","52,744.5","52,558","45,448","44,971","60,308.5","66,740","79,662","75,142","77,454.5","62,049.5","44,813","32,810.5","39,274.5","24,174.5","15,100","11,497","3,074",471,58
,,여자,"882,965.5","20,026","31,980.5","39,595.5","40,518","44,712.5","44,094.5","40,598","43,124","57,723.5","63,392.5","73,095.5","70,115.5","76,860","63,715.5","50,466.5","41,821.5","81,126","41,833","39,293","26,246.5","10,375.5","2,275.5",395.5
,전라남도,계,"1,806,802","45,142.5","66,124","80,188","79,963.5","89,983","91,751.5","82,775","87,626","118,104.5","125,107.5","153,015.5","156,583.5","166,812","132,138.5","104,199.5","84,907","142,380.5","79,794.5","62,586","43,387","15,525","3,115.5",558.5
,,남자,"909,893","22,947","33,911","41,044.5","41,440","50,328","51,404","44,134","45,550.5","62,350.5","66,806","82,499.5","84,220.5","86,290.5","66,659","49,936.5","36,526","43,845.5","28,133.5","15,712","11,935.5","3,214.5",502,60
,,여자,"896,909","22,195.5","32,213","39,143.5","38,523.5","39,655","40,347.5","38,641","42,075.5","55,754","58,301.5","70,516","72,363","80,521.5","65,479.5","54,263","48,381","98,535","51,661","46,874","31,451.5","12,310.5","2,613.5",498.5
,경상북도,계,"2,558,213.5","62,519.5","95,650","109,478","108,890.5","123,978.5","129,618","127,606","134,470.5","177,516.5","183,331.5","220,765.5","222,133","243,956","199,518","146,629","101,904.5","170,248.5","94,895","75,353.5","53,009.5","18,147","3,672",525
,,남자,"1,290,582","32,110","49,201","56,884.5","57,461.5","70,275","74,433","70,497","71,033.5","92,458","94,951","114,988","114,459","123,681.5","99,345","69,768","44,610","54,426","34,325.5","20,100.5","15,469","3,972.5",607,52
,,여자,"1,267,631.5","30,409.5","46,449","52,593.5","51,429","53,703.5","55,185","57,109","63,437","85,058.5","88,380.5","105,777.5","107,674","120,274.5","100,173","76,861","57,294.5","115,822.5","60,569.5","55,253","37,540.5","14,174.5","3,065",473
,경상남도,계,"3,255,461","82,778.5","138,123.5","161,760.5","155,474","161,774.5","169,561","170,191","184,700.5","254,940","254,949","298,755","277,796.5","291,892","228,008","155,149.5","108,676","160,931.5","90,282.5","70,649","49,625.5","17,298","3,320.5",405
,,남자,"1,638,272.5","42,441","71,190.5","83,392.5","81,413.5","91,152.5","94,765","91,560.5","95,629","131,096","130,548","153,079.5","141,452","146,879.5","112,834.5","73,737","47,413","49,688.5","31,880.5","17,808","13,878","3,396",486,48
,,여자,"1,617,188.5","40,337.5","66,933","78,368","74,060.5","70,622","74,796","78,630.5","89,071.5","123,844","124,401","145,675.5","136,344.5","145,012.5","115,173.5","81,412.5","61,263","111,243","58,402","52,841","35,747.5","13,902","2,834.5",357
,제주특별자치도,계,"673,099","20,624.5","32,454.5","36,566","34,044","36,126.5","39,559","38,327.5","40,178","54,973","54,166.5","62,170.5","54,691","51,517","39,155","25,770","21,353","31,423","16,488.5","14,934.5","9,956","3,938.5",783.5,256.5
,,남자,"336,907.5","10,577.5","16,672.5","18,803","17,784.5","19,486.5","20,741","19,630.5","20,021.5","27,500.5","28,049","32,083","28,442","25,996.5","19,272.5","12,113.5","9,543.5","10,190","6,321.5","3,868.5","3,012",772.5,72,12
,,여자,"336,191.5","10,047","15,782","17,763","16,259.5","16,640","18,818","18,697","20,156.5","27,472.5","26,117.5","30,087.5","26,249","25,520.5","19,882.5","13,656.5","11,809.5","21,233","10,167","11,066","6,944","3,166",711.5,244.5
